Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
Rigs-2,Tor,9249.14,1.58,2.01,1.96,2.36,1.34,1.19,98.01,1.09,0.89,41.03,2.29,2.84,7.39,2.84,0.06,0.33,0.82,8305.72,4300.84,5019.29,4.84,1.86,1.5,1.86,1.91,0.96,1.59,1.08
Rigs-2,Tor,9255.7,1.56,1.99,2.06,2.43,1.39,1.23,97.61,1.29,1.09,41.91,2.59,3.01,7.74,3.01,0.08,0.33,0.84,8311.42,4303.7,4952.1,5.06,1.97,1.7,1.97,1.96,0.99,1.67,1.13
SA-1,Tor,9285.23,2.06,2.31,2.43,4.08,2.42,2.24,98.2,1.2,0.6,23.52,-3.92,12.05,22.96,11.57,-59.88,0.28,0.47,8336.89,4316.38,6445.4,1.25,0.63,-0.2,0.63,0.95,0.52,0.56,0.55
Baron-2,Ekofisk,9295.07,1.98,2.26,3.59,3.47,2.18,1.86,88.39,9.48,2.13,26.21,12.96,9.4,16.75,7.8,0.21,0.3,0.52,8346.72,4321.95,6237.21,15.59,7.26,10.01,7.26,3.35,1.79,3.16,1.92
Baron-2,Ekofisk,9304.92,2.04,2.29,3.47,3.43,2.16,1.83,85.02,11.73,3.26,23.81,11.87,9.51,16.74,7.68,0.18,0.3,0.48,8356.33,4327.3,6437.79,14.82,6.8,8.48,6.8,3.23,1.72,2.93,1.83
Baron-2,Ekofisk,9308.2,2.25,2.42,4.4,4.32,2.64,2.42,70.8,17.7,11.5,15.56,22.63,15.66,26.26,14.17,0.22,0.27,0.31,8359.59,4329.14,7105.43,24.85,13.41,19.37,13.41,4.2,2.35,4.07,2.44
SA-1,Tor,9311.48,1.93,2.23,3.48,3.6,2.16,1.98,99.1,0.6,0.3,28.13,11.38,9.01,17.23,8.74,0.19,0.28,0.56,8363.03,4331.16,6094.33,14.1,7.15,9.02,7.15,3.26,1.79,3.1,1.92
SA-1,Tor,9314.76,1.89,2.2,3.26,3.47,2.01,1.86,98.9,0.6,0.5,29.55,9.9,7.63,16.37,7.62,0.19,0.3,0.59,8366.19,4332.9,5982.41,12.63,5.88,7.63,5.88,3.05,1.63,2.86,1.76
SA-1,Tor,9324.6,1.98,2.26,3.52,3.6,2.18,1.98,98.9,0.73,0.37,26.43,12.01,9.43,17.45,8.85,0.19,0.28,0.53,8375.59,4338.03,6241.13,14.82,7.52,9.57,7.52,3.32,1.82,3.14,1.95
Baron-2,Ekofisk,9331.16,2.11,2.34,3.76,3.78,2.31,2.07,87.03,12.64,0.33,21.42,14.83,11.27,20.04,10.02,0.2,0.29,0.43,8382.0,4341.6,6651.33,17.76,8.88,11.68,8.88,3.56,1.95,3.34,2.05
SA-1,Tor,9341.01,1.9,2.21,3.47,3.53,2.12,1.96,99.1,0.6,0.3,29.43,11.49,8.54,16.19,8.48,0.2,0.28,0.59,8391.96,4347.3,6011.11,14.09,7.38,9.93,7.38,3.29,1.83,3.22,1.97
SA-1,Tor,9350.85,1.86,2.19,3.33,3.4,2.03,1.82,95.9,2.73,1.37,30.53,10.42,7.67,15.61,7.24,0.2,0.3,0.61,8401.36,4352.45,5928.83,12.99,6.02,8.18,6.02,3.1,1.66,2.95,1.8
Q-1X,Ekofisk,10003.77,2.33,2.48,3.95,3.86,2.47,2.01,87.2,5.99,6.81,12.86,17.39,14.21,23.57,10.01,0.18,0.31,0.26,9019.16,4687.52,7905.2,21.41,9.09,11.13,9.09,3.68,1.92,3.16,1.98
Q-1X,Ekofisk,10016.89,2.33,2.48,4.57,4.47,2.69,2.47,75.16,20.66,4.18,12.67,26.16,16.85,29.34,15.11,0.23,0.28,0.25,9033.24,4695.92,7933.95,28.49,14.67,22.78,14.67,4.4,2.43,4.26,2.51
Q-1X,Ekofisk,10026.74,2.44,2.54,5.0,4.98,2.92,2.75,78.2,12.4,9.4,8.74,33.23,20.79,37.38,19.21,0.24,0.28,0.17,9043.79,4702.21,8285.12,35.09,18.03,28.83,18.03,4.83,2.66,4.66,2.72
A755,Tor,,2.05,2.29,4.05,4.08,2.42,2.24,97.03,1.98,0.99,24.38,17.58,11.98,22.81,11.5,0.22,0.28,0.49,,,,20.03,10.09,14.81,10.09,3.82,2.1,3.72,2.22
